Year,Mean Annual Temp (deg C),Total Annual Precip (mm),Natural Inflow (bcm)
1906,10.4,579.1,23.1
1907,10.6,428.2,25.9
1908,9.0,460.8,14.4
1909,9.2,468.9,27.0
1910,10.4,327.7,18.0
1911,9.9,383.5,19.3
1912,8.4,373.4,23.0
1913,9.0,388.9,17.9
1914,10.1,469.1,26.0
1915,8.1,508.0,17.4
1916,8.3,446.0,23.7
1917,10.3,191.3,29.4
1918,9.1,283.0,19.4
1919,9.1,351.0,16.0
1920,9.1,329.4,27.1
1921,10.6,368.3,28.0
1922,8.9,319.3,22.9
1923,9.1,344.4,22.6
1924,9.5,247.9,18.1
1925,10.3,270.8,16.7
1926,12.1,390.4,20.1
1927,10.7,491.7,23.1
1928,9.3,367.5,21.9
1929,8.4,244.6,26.9
1930,8.8,322.3,18.7
1931,9.5,367.8,10.9
1932,8.4,284.2,22.0
1933,9.0,320.8,15.2
1934,11.6,179.6,8.1
1935,9.4,312.4,15.1
1936,10.3,300.7,17.9
1937,9.0,329.7,17.5
1938,10.0,374.9,22.1
1939,10.4,239.0,14.4
1940,10.6,482.6,11.6
1941,9.4,541.8,22.5
1942,9.4,197.4,23.9
1943,10.5,245.4,16.8
1944,9.1,299.2,19.0
1945,9.3,259.3,17.3
1946,10.2,289.8,13.6
1947,9.9,351.3,19.6
1948,9.1,348.5,19.4
1949,8.9,416.1,20.6
1950,10.4,135.1,16.2
1951,9.4,276.1,15.4
1952,9.3,290.6,25.7
1953,10.0,352.0,13.8
1954,11.0,284.5,10.2
1955,9.4,203.7,12.0
1956,10.3,125.2,14.3
1957,9.6,530.6,24.9
1958,11.0,237.2,20.8
1959,10.5,273.3,11.4
1960,10.2,197.6,14.8
1961,9.7,269.0,11.4
1962,10.4,289.8,21.9
1963,10.4,241.8,11.2
1964,9.5,197.1,12.8
1965,9.4,507.7,22.7
1966,10.2,279.4,13.6
1967,9.9,317.8,14.4
1968,9.2,301.5,16.5
1969,10.0,418.8,17.8
1970,9.8,282.7,18.6
1971,9.5,267.5,18.3
1972,10.2,363.0,15.3
1973,8.9,265.4,23.8
1974,9.7,314.7,16.0
1975,8.6,220.7,20.4
1976,9.9,156.7,13.8
1977,10.6,236.2,6.7
1978,10.3,492.8,18.4
1979,9.4,336.8,21.7
1980,10.7,331.5,21.4
1981,11.2,311.2,10.7
1982,9.5,373.9,20.6
1983,10.1,445.3,29.3
1984,10.1,284.2,29.8
1985,10.2,399.3,26.0
1986,10.8,390.9,27.6
1987,10.4,466.3,20.5
1988,10.5,289.6,14.4
1989,9.5,14.5,11.8
1990,11.3,340.1,11.1
1991,10.9,298.2,15.2
1992,11.3,382.0,13.6
1993,11.0,448.6,23.1
1994,12.2,373.6,13.1
1995,11.7,326.9,24.5
1996,12.4,315.5,17.3
1997,11.5,509.3,26.1
1998,12.0,361.2,20.9
1999,12.1,252.0,20.3
2000,12.4,375.7,13.0
2001,12.4,313.9,13.6
2002,12.2,200.4,7.2
2003,12.8,316.5,12.9
2004,11.8,390.9,11.6
2005,12.6,389.4,21.1
2006,12.2,299.2,15.6
2007,12.5,337.6,15.5
2008,11.6,429.3,20.1
2009,12.0,288.3,17.6
2010,11.5,426.7,15.2
2011,11.6,245.1,24.9
2012,12.4,207.5,10.4
2013,10.9,342.4,11.1
2014,12.2,230.4,17.4
2015,11.8,506.5,16.6
2016,11.8,265.7,16.6
2017,12.5,180.1,20.3
2018,12.3,215.9,10.5
2019,11.0,331.5,21.9
2020,12.2,145.3,11.9
2021,13.3,187.2,8.8